

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 2; fitness: 89.24317193830046; player life: 48; enemy life: 0; time: 259

RUN: run status: enemy: 2; fitness: 30.081106145726853; player life: 0; enemy life: 60; time: 372

RUN: run status: enemy: 2; fitness: 3.2254484544555915; player life: 0; enemy life: 90; time: 322

RUN: run status: enemy: 2; fitness: -5.942799375126701; player life: 0; enemy life: 100; time: 381

RUN: run status: enemy: 2; fitness: 75.12226421822037; player life: 0; enemy life: 10; time: 357

RUN: run status: enemy: 2; fitness: -6.163314804034641; player life: 0; enemy life: 100; time: 475

RUN: run status: enemy: 2; fitness: 88.84814186652393; player life: 42; enemy life: 0; time: 211

RUN: run status: enemy: 2; fitness: 2.8451419059835823; player life: 0; enemy life: 90; time: 471

RUN: run status: enemy: 2; fitness: 87.98936470590374; player life: 30; enemy life: 0; time: 150

RUN: run status: enemy: 2; fitness: 84.90168263345197; player life: 2; enemy life: 0; time: 200

RUN: run status: enemy: 2; fitness: 13.037155369740093; player life: 0; enemy life: 80; time: 143

RUN: run status: enemy: 2; fitness: -5.802118375377063; player life: 0; enemy life: 100; time: 331

RUN: run status: enemy: 2; fitness: 90.4727463148428; player life: 54; enemy life: 0; time: 138

RUN: run status: enemy: 2; fitness: 40.09472522156157; player life: 0; enemy life: 50; time: 135

RUN: run status: enemy: 2; fitness: -5.793013608384144; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 2; fitness: 30.15067522005314; player life: 0; enemy life: 60; time: 347

RUN: run status: enemy: 2; fitness: -5.762051382780177; player life: 0; enemy life: 100; time: 318

RUN: run status: enemy: 2; fitness: 66.67212383121041; player life: 0; enemy life: 20; time: 206

RUN: run status: enemy: 2; fitness: 30.774253326286797; player life: 0; enemy life: 60; time: 186

RUN: run status: enemy: 2; fitness: 30.185869468174936; player life: 0; enemy life: 60; time: 335

RUN: run status: enemy: 2; fitness: -6.008813185442595; player life: 0; enemy life: 100; time: 407

RUN: run status: enemy: 2; fitness: 3.266658723102254; player life: 0; enemy life: 90; time: 309

RUN: run status: enemy: 2; fitness: -5.793013608384144; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 2; fitness: -5.220355825078324; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 2; fitness: -5.087596335232384; player life: 0; enemy life: 100; time: 162

RUN: run status: enemy: 2; fitness: -5.857933154483459; player life: 0; enemy life: 100; time: 350

RUN: run status: enemy: 2; fitness: 3.1858694681749338; player life: 0; enemy life: 90; time: 335

RUN: run status: enemy: 2; fitness: -5.793013608384144; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 2; fitness: -5.8664680569332965; player life: 0; enemy life: 100; time: 353

